setting,scale,rule,metric,value,unit
static,500,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s210
static,500,latest,distance_reduction_pct,22.759618680558937,ORTEC-SYNTH-500-s210
static,500,retry,vehicle_reduction_pct,2.272727272727273,ORTEC-SYNTH-500-s210
static,500,retry,distance_reduction_pct,1.6575355995421852,ORTEC-SYNTH-500-s210
static,500,latest,vehicle_reduction_pct,-6.666666666666667,ORTEC-SYNTH-500-s211
static,500,latest,distance_reduction_pct,-2.585004329242309,ORTEC-SYNTH-500-s211
static,500,retry,vehicle_reduction_pct,4.444444444444445,ORTEC-SYNTH-500-s211
static,500,retry,distance_reduction_pct,2.7427983397699367,ORTEC-SYNTH-500-s211
static,500,latest,vehicle_reduction_pct,-12.195121951219512,ORTEC-SYNTH-500-s213
static,500,latest,distance_reduction_pct,-23.695819918077614,ORTEC-SYNTH-500-s213
static,500,retry,vehicle_reduction_pct,4.878048780487805,ORTEC-SYNTH-500-s213
static,500,retry,distance_reduction_pct,23.448749394365542,ORTEC-SYNTH-500-s213
static,500,latest,vehicle_reduction_pct,4.444444444444445,ORTEC-SYNTH-500-s212
static,500,latest,distance_reduction_pct,-1.3109449261271682,ORTEC-SYNTH-500-s212
static,500,retry,vehicle_reduction_pct,6.666666666666667,ORTEC-SYNTH-500-s212
static,500,retry,distance_reduction_pct,-0.4628161939390609,ORTEC-SYNTH-500-s212
static,500,latest,vehicle_reduction_pct,-2.380952380952381,ORTEC-SYNTH-500-s214
static,500,latest,distance_reduction_pct,-3.2808523198761397,ORTEC-SYNTH-500-s214
static,500,retry,vehicle_reduction_pct,2.380952380952381,ORTEC-SYNTH-500-s214
static,500,retry,distance_reduction_pct,-3.3293049003937467,ORTEC-SYNTH-500-s214
static,500,latest,vehicle_reduction_pct,2.083333333333333,ORTEC-SYNTH-500-s215
static,500,latest,distance_reduction_pct,-0.07357777979403067,ORTEC-SYNTH-500-s215
static,500,retry,vehicle_reduction_pct,12.5,ORTEC-SYNTH-500-s215
static,500,retry,distance_reduction_pct,36.68341423581183,ORTEC-SYNTH-500-s215
static,500,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s216
static,500,latest,distance_reduction_pct,18.217374442305857,ORTEC-SYNTH-500-s216
static,500,retry,vehicle_reduction_pct,9.523809523809524,ORTEC-SYNTH-500-s216
static,500,retry,distance_reduction_pct,-1.9285390239310811,ORTEC-SYNTH-500-s216
static,500,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s217
static,500,latest,distance_reduction_pct,1.0084939223495424,ORTEC-SYNTH-500-s217
static,500,retry,vehicle_reduction_pct,4.651162790697675,ORTEC-SYNTH-500-s217
static,500,retry,distance_reduction_pct,4.915494226614522,ORTEC-SYNTH-500-s217
static,500,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-500-s219
static,500,latest,distance_reduction_pct,2.3991782865246845,ORTEC-SYNTH-500-s219
static,500,retry,vehicle_reduction_pct,6.25,ORTEC-SYNTH-500-s219
static,500,retry,distance_reduction_pct,4.1426059155229655,ORTEC-SYNTH-500-s219
static,500,latest,vehicle_reduction_pct,2.1739130434782608,ORTEC-SYNTH-500-s220
static,500,latest,distance_reduction_pct,0.594123969602001,ORTEC-SYNTH-500-s220
static,500,retry,vehicle_reduction_pct,13.043478260869565,ORTEC-SYNTH-500-s220
static,500,retry,distance_reduction_pct,-0.425588763821361,ORTEC-SYNTH-500-s220
static,500,latest,vehicle_reduction_pct,4.761904761904762,ORTEC-SYNTH-500-s223
static,500,latest,distance_reduction_pct,-3.228588982984966,ORTEC-SYNTH-500-s223
static,500,retry,vehicle_reduction_pct,4.761904761904762,ORTEC-SYNTH-500-s223
static,500,retry,distance_reduction_pct,-3.228588982984966,ORTEC-SYNTH-500-s223
static,500,latest,vehicle_reduction_pct,2.3255813953488373,ORTEC-SYNTH-500-s221
static,500,latest,distance_reduction_pct,3.165847120527153,ORTEC-SYNTH-500-s221
static,500,retry,vehicle_reduction_pct,9.30232558139535,ORTEC-SYNTH-500-s221
static,500,retry,distance_reduction_pct,7.045798335624615,ORTEC-SYNTH-500-s221
static,500,latest,vehicle_reduction_pct,4.545454545454546,ORTEC-SYNTH-500-s224
static,500,latest,distance_reduction_pct,1.7620264066420692,ORTEC-SYNTH-500-s224
