timestamp,scenario,base_instance,num_epochs,solver,time_limit_sec,overall_served_rate,overall_feasible,total_late_violations,total_capacity_violations,total_distance,total_runtime_sec,error
2026-05-02T14:33:56.928404,ORTEC-SYNTH-500-s246_dyn5e,ORTEC-SYNTH-500-s246,5,ortools,120,1.0000,True,0,0,315823.8,85.02,
2026-05-02T14:34:10.128297,ORTEC-SYNTH-500-s247_dyn5e,ORTEC-SYNTH-500-s247,5,ortools,120,1.0000,True,0,0,355350.6,104.61,
2026-05-02T14:34:45.011704,ORTEC-SYNTH-500-s248_dyn5e,ORTEC-SYNTH-500-s248,5,ortools,120,1.0000,True,0,0,302568.8,98.53,
2026-05-02T14:35:19.015609,ORTEC-SYNTH-500-s249_dyn5e,ORTEC-SYNTH-500-s249,5,ortools,120,1.0000,True,0,0,315003.9,91.39,
2026-05-02T14:35:54.742353,ORTEC-SYNTH-500-s251_dyn5e,ORTEC-SYNTH-500-s251,5,ortools,120,1.0000,True,0,0,250370.8,92.64,
2026-05-02T14:36:50.411181,ORTEC-SYNTH-500-s253_dyn5e,ORTEC-SYNTH-500-s253,5,ortools,120,1.0000,True,0,0,353606.4,88.64,
2026-05-02T14:37:27.406037,ORTEC-SYNTH-500-s254_dyn5e,ORTEC-SYNTH-500-s254,5,ortools,120,1.0000,True,0,0,323204.8,87.44,
2026-05-02T14:38:54.853748,ORTEC-SYNTH-500-s256_dyn5e,ORTEC-SYNTH-500-s256,5,ortools,120,1.0000,True,0,0,333312.9,86.58,
2026-05-02T14:40:21.437577,ORTEC-SYNTH-500-s257_dyn5e,ORTEC-SYNTH-500-s257,5,ortools,120,1.0000,True,0,0,344526.1,84.37,
2026-05-02T14:36:23.550619,ORTEC-SYNTH-500-s252_dyn5e,ORTEC-SYNTH-500-s252,5,ortools,120,0.4000,False,0,0,133366.2,397.42,
2026-05-02T14:41:46.010915,ORTEC-SYNTH-500-s258_dyn5e,ORTEC-SYNTH-500-s258,5,ortools,120,1.0000,True,0,0,375600.1,86.29,
2026-05-02T14:43:00.978057,ORTEC-SYNTH-500-s259_dyn5e,ORTEC-SYNTH-500-s259,5,ortools,120,1.0000,True,0,0,345375.0,87.22,
2026-05-02T14:43:12.303650,ORTEC-SYNTH-500-s260_dyn5e,ORTEC-SYNTH-500-s260,5,ortools,120,1.0000,True,0,0,308212.1,100.66,
2026-05-02T14:38:19.085782,ORTEC-SYNTH-500-s255_dyn5e,ORTEC-SYNTH-500-s255,5,ortools,120,0.4000,False,0,0,149610.6,397.33,
